,text,label,probability
177,"Of note, the LTR16A1 and MIRb integrations were also present, but truncated in the murine Ace2 locus (Fig.1b, c), further supported by LASTz Hs-Mm whole genome alignment (Ensembl Compara databases).To further support the intronic initiation of the chimeric MIRb-Ace2 transcript in species other than humans, we performed RT-qPCR analyses using primers complementary to the respective LTR16A1 and Ace2 exon 10 sequences in the African green monkey, dog, rabbit or mouse genome (Extended Data Fig.3).Whereas all cell lines from these representative species expressed the canonical Ace2 transcript, the MIRb-Ace2 transcript was detected in CV-1, but not Vero cells (both from African green monkey) (Extended Data Fig.3).The MIRb-Ace2 transcript was undetectable in leporine R9ab and murine MCA-38 cells, but was present in canine MDCK cells (Extended Data Fig.3), consistent with the high degree of LTR16A1 and MIRb element conservation in the latter species family.Therefore, MIRb-ACE2 expression in humans likely represents a common mammalian feature that has been lost in some, but not all other mammalian species.To assess the relative expression of ACE2 and MIRb-ACE2 isoforms, we quantified expression of both transcripts across tissue types in the TCGA and Genotype-Tissue Expression (GTEx) cohorts.Consistent with recent reports, full-length ACE2 was expressed predominantly in the healthy intestine and kidney and tumors of the same histotypes (Extended Data Fig.4).Expression of MIRb-ACE2 followed a similar overall pattern, but with notable expression also in healthy testis, likely owing to retroelement activation as part of epigenetic reprogramming during spermatogenesis.However, despite similar histotype distribution of ACE2 and MIRb-ACE2 expression, the ratio of the two isoforms was characteristically different between distinct histotypes and tumor types.For example, in larger TCGA patient cohorts, LUAD samples expressed higher levels of ACE2 than of MIRb-ACE2 (mean ACE2/MIRb-ACE2 ratio = 5.63), whereas LUSC samples showed the opposite phenotype with higher expression of MIRb-ACE2 (mean ACE2/MIRb-ACE2 ratio = 0.87) (Fig.2a, b).ACE2 and MIRb-ACE2 expression and their ratios were not affected by patient sex, arguing against a strong effect of the X chromosomal location of ACE2 on either isoform expression (Fig.2a, b).",0,0.8442773
304,"Thus, the specificity and positive predictive value of the test was 100.0% in the preliminary (200/200) and final (201/201) result reporting phases.Clinical sensitivitySensitivity (positive percent agreement) of the mariPOC SARS-CoV-2 test when compared with the qRT-PCR methods.Sample cohort mariPOC result phase No.of specimens Sensitivity (%)(95% CI)   TP FN   1 Final 13 0 100.0 (75.3-100.0)   Preliminary 13 0 100.0 (75.3-100.0)   2 Final 38 7 84.4 (70.5-93.5)   Preliminary 33 12 73.3 (58.1-85.4)   TP = true positive, FN = false negative, CI = confidence interval (exact Clopper-Pearson method).mariPOC and qRT-PCR SARS-CoV-2 results (+ or -) with Ct values that were available for the sensitivity cohort 1.Comparator qRT-PCR was not done for the sample number 106 from unknown reason but was considered to have been positive as it would have been analysed because of antigen and confirmatory qRT-PCR positivity (Ct values for genes: E, 30.2; RdRP, 35.2; N, 35.78).Sample mariPOC result Comparator qRT-PCR (Gene, Ct value)   Number Type Preliminary Final   5 Dry swab + + +(NA)   7 Dry swab + + +(NA)   13 Dry swab + + +(NA)   21 Dry swab + + +(NA)   47 Dry swab + + +(NA)   62 Dry swab + + +(NA)   95 Swab in saline + + +(NA)   106 Swab in saline + + Considered as + (NA)   151 Dry swab + + +(NA)   198 Swab in saline + + +(N, 21.89; ORF1ab, 20.66)   202 Swab in saline + + +(N, 23.58; ORF1ab, 21.8)   203 Swab in saline + + +(N, 28.82; ORF1ab, 26.5)   206 Swab in saline + + +(N, 24.41; ORF1ab, 24.15)   NA = not available/applicable.We validated sensitivity of the mariPOC SARS-CoV-2 test with 58 frozen qRT-PCR positive nasopharyngeal samples from two specimen cohorts.The sensitivity of the test was 100.0% (13/13) in the preliminary and final result reporting phases in sensitivity cohort 1, where the nasopharyngeal swab specimens were suspended directly into the mariPOC sample buffer or first into saline (Tables 2 and 3).Prevalence of SARS-CoV-2 in the first sample cohort was 6%, which is well in alignment with the prevalence during the study time in the geographical area (5%).Ct values of qRT-PCR for mariPOC test positive (green dots) and negative (red dots) samples in the validation sample cohort 2.Dashed line is at Ct 33.24, which was the lowest detected Ct.Comparison of cumulative positivity rates of viral culture (four studies) and mariPOC (sensitivity sample cohort 2) to qRT-PCR below different Ct categories.",0,0.6952928
319,"Moderate disease includes patients with fever, cough, sputum production, and other respiratory tract or non-specific symptoms along with manifestation of pneumonia on imaging but no signs of severe pneumonia defined as the presence of SaO2/SpO2 below 94% on room air or a PaO2 to FiO2 ratio of 300 or lower.AssessmentSpecimens from the upper respiratory tract, lower respiratory tract, or both were obtained from each patient on screening (day -3 to day 1) and during treatment and post-treatment follow-up at scheduled visits on days 4, 7, 10, 14, 21, and 28.The local Centre for Disease Control and Prevention or authorised health institutions or hospitals at each site measured SARS-CoV-2 by using assays approved by the National Medical Products Administration.Measurements were performed according to the recommendations of the National Institute for Viral Disease Control and Prevention (China) (http://ivdc.chinacdc.cn/kyjz/202001/t20200121_211337.html).Methods for extraction and amplification of total RNA through RT-PCR were similar to those described elsewhere.Rather than quantitative data (cycle threshold value) reported from the RT-PCR assay, we collected only qualitative data reported from our trial sites.On the basis of a national recommendation, we defined a cycle threshold value less than 37 as a positive test result and a cycle threshold value of 40 or more as a negative test.Cycle threshold values between 37 and 40 confirmed by retesting were reported as unclassified.In addition to SARS-CoV-2 testing, patients were assessed on each scheduled visit for vital signs, C reactive protein, erythrocyte sedimentation rate, tumour necrosis factor alpha, interleukin 6, complete blood cell count with differential, blood chemistry, coagulation panel, pulse oximetry, and respiratory symptoms.Records of administration of hydroxychloroquine and adverse events were reviewed daily to ensure fidelity to the protocol and, more importantly, patient safety.Computed tomography of the chest was assessed on screening and at the last visit of the treatment period (day 14 for patients with mild to moderate disease and day 21 for severe disease).Computed tomography examinations of the chest could be exempted by the investigators if the participants could provide qualified examination results within three days before the start of the study.More details on data collection are provided in the protocol available in the supplement.OutcomeThe primary outcomes for this trial were whether patients had negative conversion of SARS-CoV-2 by 28 days and whether patients with severe covid-19 had clinical improvement by 28 days.However, as the trial was stopped early and only two patients with severe disease were enrolled, results on clinical improvement are not presented.We defined negative conversion of SARS-CoV-2 as two consecutive reports of a negative result for SARS-CoV-2 at least 24 hours apart without a subsequent report of a positive result by the end of the study.We considered the date of the first negative report as the date of negative conversion.In the original protocol, the primary endpoint was prespecified as the ""Negative conversion rate by Day 10"" (approved by the ethics committee on 6 February 2020).",0,0.8154564
635,"P/F ratio >13.3 and <=26.6 kPa (%) 59 (72.0) 82 (68.9) - 141 (70.1)   Severe.P/F ratio <=13.3 kPa) (%) 15 (18.3) 22 (18.5) - 37 (18.4)   Prone ventilation (%) (among patients with ARDS who underwent IMV) 62 (75.6) 69 (58.0) .01 131 (65.2)   Hours in prone ventilation (IQR) 31 (4-68) 13 (0-35) .034 16 (52)   NMB >24 h (%) (among patients with ARDS who underwent IMV) 62 (75.6) 50 (42.0) <.001 112 (55.7)   Tracheotomy (%) (among patients with ARDS who underwent IMV) 55 (67.1) 65 (54.6) .052 120 (58.8)   Days to tracheotomy (IQR) 9 (6-10) 7 (5-9) .002 8 (6-10)   ECMO (%) 0 (0) 1 (0.6) - 1 (0.4)   CRRT (%) 26 (27.0) 16 (9.5) <.001 42 (15.9)   Hours in CRRT (IQR) 117 (75-261) 187 (84-586) .3 142 (75-415)   CVC (%) 89 (92.7) 153 (91.1) .6 242 (91.7)   Vasopressorc (%)   <.001    No vasopressor 14 (14.6) 54 (32.5) - 68 (26.0)   <0.1 microg/kg/min 55 (57.3) 87 (52.4) - 142 (54.2)   >0.1 microg/kg/min 27 (28.1) 25 (15.1) - 52 (19.8)   TVPM (%) 1 (1.0) 4 (2.4) .7 5 (1.9)   Transfer to another ICU 20 (20.8) 40 (23.8) .6 60 (22.7)   Pharmacological treatment   Steroids (%) 54 (56.3) 162 (96.4) <.001 216 (81.8)   Remdesivir (%) 1 (1.0) 19 (11.3) .002 20 (7.6)   Antibiotics (%) 85 (88.5) 146 (86.9) .7 231 (87.5)   Tocilizumab (%) 3 (3.1) 3 (1.8) .5 6 (2.3)   Anakinra (%) 0 (0) 0 (0) - 0 (0)   Hydroxychloroquine/chloroquine phosphate (%) 8 (8.3) 0 (0) <.001 8 (3.0)   Inhaled vasodilators 19 (19.8) 23 (13.7) .2 42 (15.9)   LMWH* (%) 94 (97.9) 159 (94.6) .2 253 (95.8)   LMWH*>9000 U/day (%) 42 (43.8) 133 (79.2) <.001 175 (66.5)   Laboratory tests (peak value during ICU admission)   NTproBNP ng/L (IQR) 1091 (342-3919) 589 (298-1609) 0.1 672 (307-2280)   Creatinine micromol/L (IQR) 92 (75-232) 78 (61-107) .039 82 (52-123)   Myoglobin microg/L (IQR) 467 (183-1647) 145 (75-338) <.001 210 (26-545)   C-reactive protein mg/L (IQR) 271 (260-334) 148 (80-234) <.001 197 (98-279)   Ferritin microg/L (IQR) 1365 (720-2885) 1101 (332-2922) .8 1129 (450-2904)   Procalcitonin microg/L (IQR) 1.6 (0.6-5.4) 0.4 (0.2-1.4) <.001 0.5 (0.2-2)   The significance level refers to the distribution of for example ARDS classes between the two waves, and not between the specific groups (in italics).ARDS, acute respiratory distress syndrome; CRRT, continuous renal replacement therapy; CVC, central venous catheter; ECMO, extracorporeal membrane oxygenation; HFNO, high flow nasal oxygen; ICU, intensive care unit; IMV, invasive mechanical ventilation; IQR, interquartile range; LMWH, low molecular weight heparin (*tinzaparin); NIV, non-invasive ventilation; SAPS3, simplified acute physiological score 3; TVPM, transvenous pacemaker.Three mechanically ventilated patients admitted to the ICU for postoperative reasons were excluded from the analysis.The lowest consistent P/F- ratios were recorded and used for the ARDS classification.Noradrenaline (missing data for two patients).Eleven patients (4.1%) were managed without HFNO, non-invasive ventilation or IMV.Of these, eight were admitted to the ICU for reasons other than acute hypoxaemic respiratory failure (i.e., shock, liver failure, seizures, diabetic ketoacidosis, left ventricular failure, or electrolyte disturbances).Whereas the median time for patients receiving continuous renal replacement therapy (CRRT) remained unchanged (117 vs. 187 h, p = .3), the proportion of patients requiring CRRT declined from 27.0% to 9.5% (p < .001) during W2.The median LOS in the ICU was 10 days (IQR, 3-19), but significantly shorter (13.5 vs. 7.5 days, p < .001) during W2.Similarly, the median time spent in IMV decreased from 15 days to 9 days (p = .03).Sixty patients (22.7%) were transferred to another ICU during the first year due to overcrowding, and the proportions were similar between waves (20.8% vs. 23.8%, p = .6).There was no difference in 30-day mortality between patients who underwent inter-facility transfers and those who did not (p = .3).The rate of steroid use during intensive care increased from 54.6% during W1 to 96.4% during W2 (p < .001), whereas the rate of antibiotic administration remained unchanged throughout the study period (88%).Peak laboratory values of creatinine, myoglobin, C-reactive protein, and procalcitonin were significantly lower during W2.More than one in three patients (31.4%) experienced pressure sores; however, the rate was significantly lower during W2, from 47.9% during W1 to 22.0% (p < .001).The 30-day mortality rate (Table 4) remained unchanged over the study period, with a total of 34 deaths (12.9%) recorded.Of these, 26 (9.8%) died in the ICU.In total, 43 patients (16.3%) died during hospitalisation.There were no differences in 30-day mortality rate between W1 and W2 at any of the centres.Seven (2.7%) patients were still hospitalised at the time of the data cut-off.",0,0.6932854
106,"To control for potential variability related to self-swabbing, sample collection was performed by trained nurses or respiratory therapy staff (""study staff"") with training and oversight from the respiratory therapy department at Beth Israel Deaconess Medical Center (BIDMC) drive-through/walk-up (""drive-through"") COVID-19 testing sites.Individuals with known thrombocytopenia (<50,000 platelets/mul) were excluded from the study to avoid risk of bleeding.This study was reviewed and approved by BIDMC's institutional review board (IRB protocol no.2020P000451).PCR compatibility.Although all of the above swabs are routinely used for PCR testing, as a double-check, each swab type was assessed for PCR compatibility by overnight incubation in 3 ml of modified CDC VTM (allowing potential PCR inhibitors time to leech into media), spiking 1.5 ml of medium with 200 copies/ml of control SARS-CoV-2 amplicon target (twice the LoD of our system), vortexing, and testing using the Abbott RealTime SARS-CoV-2 assay on an Abbott m2000 RealTime system platform, the assay and platform used for all testing in this report, following the same protocol used for clinical testing (see below).All swabs examined in this study passed this quality-control testing for lack of RT-PCR inhibition based on observation of cycle threshold (CT) values within expected quality control limits.Swab collection protocols.For the shallower/shorter collection procedure (henceforth, ""shallow""), for each naris, the swab tip was inserted into the nostril, the patient was told to press a finger against the exterior of that naris, and the swab was rotated against this external pressure for 10 seconds; this procedure was repeated with the same swab on the other naris, and then the swab was placed into the collection tube for transport to the laboratory for testing (Fig.S1a).For the deeper/longer collection procedure (henceforth, ""deep""), the swab was inserted into the naris until resistance was felt, and the swab was then rotated for 15 seconds without external pressure (Fig.S1b); this procedure was repeated with the same swab on the other naris, and the swab was then placed into the collection tube for transport.The NP swab sample was collected from a single naris by standard technique: insertion to appropriate depth, 10 rotations regardless of time, removal, and placement into a transport medium tube containing 3 ml of VTM.To maximize collection of material from the nares, in all cases, sampling using the nasal swab (both nares) was performed first, before the NP swab.Sample processing and testing.Samples were sent to the BIDMC Clinical Microbiology Laboratories for testing.Dry swabs were eluted in 2 ml of Abbott mWash1, which consists of 100 mM Tris with guanidinium isothiocyanate (GITC) and detergent.",0,0.8962682
261,"For full details of our Embargo Policy, please visit http://www.plos.org/about/media-inquiries/embargo-policy/.To enhance the reproducibility of your results, we recommend that you deposit your laboratory protocols in protocols.io, where a protocol can be assigned its own identifier (DOI) such that it can be cited independently in the future.Additionally, PLOS ONE offers an option to publish peer-reviewed clinical study protocols.Read more information on sharing protocols at https://plos.org/protocols?utm_medium=editorial-email&utm_source=authorletters&utm_campaign=protocolsThank you again for submitting to PLOS Medicine.We look forward to publishing your paper.Sincerely, Dr Raffaella Bosurgi Executive EditorPLOS Medicine",0,0.8468921
435,"The dataset was then aligned with MUSCLE.Entropy (H(x)) plot of nucleotide variations in SARS-CoV-2 genome was constructed using BioEdit.MEGA X (version 10.1.7) was used to construct the MSAs and the phylogenetic tree using pairwise alignment and neighbor-joining methods in ClustalW.Tree structure was validated by running the analysis on 1000 bootstraps replications dataset and the evolutionary distances were calculated using the Poisson correction method.Homology modeling of S glycoproteinVariant sequences of SARS-CoV-2 were modeled in Swiss-Model using the Cryo-EM spike protein structure of SARS-CoV-2 (PDB ID 6VSB) as a template.The overall quality of models was assessed in RAMPAGE server by generating Ramachandran plots (Supplementary Table 1).PyMol and BIOVIA Discovery Studio were used for structure visualization and superpose.ResultsGenomic variations of SARS-CoV-2Nucleotide sequence variation among 320 SARS-CoV-2 whole genomes.A. Positional organization of major structural protein-encoding genes in orange color (S = Spike protein, E = Envelope protein, M = Membrane protein, N = Nucleocapsid protein) and accessory protein ORFS in blue colors.B.Variability within 320 SARS-CoV-2 genomic sequences represented by entropy (H(x)) value across genomic location.Two highest frequency of alterations were found at position 8785 of ORF1a and 28,144 of ORF8.C. The respective alignment view of each highly variable regions.(For interpretation of the references to color in this figure legend, the reader is referred to the web version of this article.)Fig.1Multiple sequence alignment of the available 320 genomes of SARS-CoV-2 were performed and 483 variations were found throughout the 29,903 bp long SARS-CoV-2 genome with in total 115 variations in UTR region, 130 synonymous variations that cause no amino acid alteration, 228 non-synonymous variations causing change in amino acid residue, 16 INDELs, and 2 variations in non-coding region (Supplementary Table 2).Among the 483 variations, 40 variations (14 synonymous, 25 non-synonymous mutations and one deletion) were observed in the region of ORF S that encodes S glycoprotein which is responsible for viral fusion and entry into the host cell.Notably, most of the SARS-CoV-2 genome sequences were deposited from the USA (250) and China (50) (Supplementary Fig.1).Positional variability of the SARS-CoV-2 genomes was calculated from the MSA of 320 SARS-CoV-2 whole genomes as a measure of Entropy value (H(x)).",0,0.758925
743,"While the first model is better in most cases, as seen in our research (Fig.4), lower-level models can also be better than higher-level models.If the I-TASSER simulations converge, less than 5 clusters can have been generated; it usually shows that because of the combined simulations, the models have good quality.Single amino acid variant (SAV), phenotype and mutation analysisSurface glycoprotein [Severe acute respiratory syndrome coronavirus-2] with accession number YP_009724390.1 was used as a reference sequence to compare with, and it was downloaded from the link: https://www.ncbi.nlm.nih.gov/protein/YP_009724390.1?report=fasta.Four Amino Acid Variants (SAV) were found from 20 spike glycoprotein sequences submitted and retrieved by a server available on the web called Phyre2.The Phyre2 is a user-friendly suite of bioinformatics tools that are available online to predict and analyze the structure, function, and mutations of proteins.At a particular position, color-coded bars of residue preference out of the 20 amino acids represent the Phyre2 mutational sensitivity results for any protein sequence, were tall red bars represent the highest favorable residues to have a phenotypic effect than shorter blue bars.The bar tallness is the values of the position-specific scoring matrix (PSSM) calculated by Position-Specific Iterated Basic Local Alignment (PSI-BLAST).ResultsSpike protein secondary structure by position-specific scoring matrices (PSIPRED)Spike protein secondary structure by position-specific scoring matrices (PSIPRED).The upper box shows the wild type D614 as a coil amino acid in light green color, and the lower box shows the G614 as an extracellular amino acid in orange color.(For interpretation of the references to color in this figure legend, the reader is referred to the Web version of this article.)Fig.1The prediction output of the secondary structure of the wild type spike glycoprotein versus the D614G variant showed that the substitution from D (aspartate) to G (glycine).D (aspartate) to G (glycine) has changed from a coil amino acid in the light green box to an extracellular amino acid in the orange box according to the color-coding of the PSIPRED, as shown in Fig.1.The final predicted model of the monomer of spike protein by I-TASSERAt first, it was not feasible to get the multimer (trimer) form of the spike protein, as the intricate building is one of the tool limitations of such kind of a computational model prediction.",0,0.5809455
240,"We show the development of broad and sustained immunoreactivity against SARS-CoV-2 antigens and found high titers of Spike-binding and virus-neutralizing antibodies were associated with COVID-19 severity.A group of high responders were identified with high, broad, and sustained neutralizing responses, who may represent ideal donors for convalescent plasma donations.Most importantly, although most patients seroconverted, antibodies generated after early infection displayed a significantly reduced antibody binding and neutralization potency to emerging evasive variants.Our data have important implications on hyperimmune therapy, monoclonal antibody treatments, and vaccine development strategies against emerging viral variants.The longevity of the immune response against SARS-CoV-2 is a fundamental yet currently unresolved question.Like others, we observed a strong correlation between Spike IgG levels and neutralization capacity.Although reports on neutralization prevalence and average titers vary widely depending on sampling and detection assay strategies, our results expand on previous findings by comparing neutralization levels with antigen-specific response over a longer follow-up period with more time points than most previous studies.Early antibody responses against SARS-CoV-2 could not be studied as the first sample was collected beyond 2 months after PCR positivity and is a limitation of the study.The decline in IgG titers and neutralization often stabilized at different levels later into convalescence, addressing whether decreasing IgG levels eventually plateau, this was particularly evident in LIFE whose samples were collected later postinfection and with a longer follow-up period than ADAPT.Spike IgM levels decreased more rapidly than IgG, but were still detectable up to 205 days after diagnosis, much later than previously reported and consistent with mathematical modeling of decline of IgM titers in a smaller convalescent cohort.While our results reveal widely different magnitudes of initial responses and a decrease in neutralizing antibodies titers, most patients have detectable Spike IgG and neutralizing responses more than 5 months after diagnosis, suggesting extended humoral protection, even in those with mild manifestations of the disease.IgG and IgM against conformational Spike antibody assays have been seldom used, and Spike IgM detection has been challenging.Although many serological assays have reported 100% sensitivity at approximately 15 days postinfection, prevalence studies, vaccine efficacy, and assessment for convalescent COVID-19 plasma donors may not recruit so early postinfection or postvaccination.In this context, and in future seroprevalence studies, more sensitive antibody assays will be essential despite their comparatively higher costs.Flow cytometry assays are used in clinical diagnostics, mainly in the sensitive and specific detection of neuroimmunological autoantibodies in which antigen conformation and discrimination of seropositive patients from healthy controls are critical.Within the follow-up time, the detection of Nucleocapsid and Spike IgG by high capacity commercial assays was less sensitive compared to the flow cytometry assay.Integration of the flow cytometry assay to detect Spike IgG would be valuable to include in the diagnostic pipeline in addition to resource-intensive whole-virus neutralization.",0,0.8669353
419,"Tip circles indicate the position of the respiratory pathogen-negative (RPN) pools (red) described in this report, the first reported COVID-19 case in NYC (green) from 29 February, later NYC cases from MSHS (yellow) and other institutions (dark gray), and US (blue) early isolates prior to 1 March.Tips without circles correspond to the background global isolates.The yellow box delineates the position of the clade containing the majority of NYC sequences detected during the early spread.The PANGO lineage classification of the RPN pools is indicated on the right, and the NextStrain clades are shown as node labels.The specimen identifier is indicated for RPN pools detected earlier than NY1.The time tree was inferred under a strict clock model with a nucleotide substitution rate of 0.80 x 10-3.To validate the NAAT results and to reconstruct the SARS-CoV-2 genomes in these pooled RPN specimens, we extracted viral RNA from all RPN pools with detectable SARS-CoV-2 RNA and performed viral genome sequencing as described previously.We obtained complete SARS-CoV-2 genomes with distinct genotypes from six of the eight ORF1ab+E+ pools (Fig.2a).To assess for the presence of more than one distinct viral genome in these pools, we determined the fraction of non-consensus viral variants for all positions in each assembly.The maximum fraction of non-consensus variants at any position did not exceed 20%, suggesting that each pool was dominated by a single viral variant.Eleven pools with detectable SARS-CoV-2 RNA (2 ORF1ab+E+, 1 ORF1ab+, and 8 E+) yielded either scattered or no SARS-CoV-2 reads, suggesting that viral RNA levels in these pools were insufficient to obtain complete genomes.Indeed, these pools had high Ct values for both targets by NAAT assay (e.g., >=34.25 for ORF1ab, >=35.63 for E) (Supplementary Fig.1b).To improve sequence recovery of limited or degraded viral RNA, we repeated sequencing with our custom protocol and a different protocol with smaller tiling amplicons targeting the full genome and regions with clade-defining mutations (see ""Methods"").The additional sequencing data allowed us to complete another SARS-CoV-2 genome from ORF1ab+E+ pool P58 (Fig.2a).The remaining two pools with ORF1ab detected yielded partial genomes (35% genome completeness for ORF1ab+ pool P34, and 24% for ORF1ab+E+ pool P51) (Fig.2b).",0,0.63679814
